path,filename,width,height,bytes,format,mode,sha256,references,reference_count
01-hero-contained-rubbish.webp,01-hero-contained-rubbish.webp,1536,1152,672442,WEBP,RGB,143e32640c9bace72aa5ec7f6d50456c38a45b4147bd3b9d4dccc313a822673d,,0
02-curated-owl-topiary.webp,02-curated-owl-topiary.webp,1448,1086,587884,WEBP,RGB,5a5b835aac0771a2db316a5444f9becdfa0766924fe3d565fc9708564de18fae,,0
03-ikebukuro-crossing.webp,03-ikebukuro-crossing.webp,1536,1152,376604,WEBP,RGB,26c10243d12591cc63d971b272b87de8bc464505cd9cd7919e763eeb352925c3,,0
04-service-robot.webp,04-service-robot.webp,1152,1536,141776,WEBP,RGB,5e5263755061674d472047c926f49320d1c1eb8144ffe5cf5696795a12b0fb90,,0
05-public-maintenance.webp,05-public-maintenance.webp,1152,1536,371428,WEBP,RGB,cc869e3e3cfeff450f3ad6e7bc32e6dcdd88924a9e39f4511c33a0db04e5626e,,0
06-backstage-delivery-wide.webp,06-backstage-delivery-wide.webp,1152,1536,465766,WEBP,RGB,a521bbfbea064a7b91e62d146e85d8ca90f8f5f8625261b37e92c02be0d45ea2,,0
07-smile-beside-the-crack.webp,07-smile-beside-the-crack.webp,1152,1536,241626,WEBP,RGB,a6dfca4a7d6dc03930ee5b72088e15bbbdf0a00079553dc728377a01c24e4686,,0
08-collection-worker-action.webp,08-collection-worker-action.webp,1536,1152,274108,WEBP,RGB,7d179de877577ecf486deadccea1d345dc6b44ce56e2959b20ebd444d62bcf5f,,0
09-collection-worker-portrait.webp,09-collection-worker-portrait.webp,1536,1152,452292,WEBP,RGB,c531984017a178050c26d0b5f3ab30427c28f41521488757688f1209faa0c7cb,,0
10-service-alley.webp,10-service-alley.webp,1152,1536,561132,WEBP,RGB,d26f5c4c2437a9b6b96d3d23a1ceb3d0b0ba00615942597fdfc1087efbdb79c5,,0
android-chrome-192.png,android-chrome-192.png,32,32,2487,PNG,RGBA,99940b9a6b7d70b2048c8f1519353a542ea80729679283360db5d6967884f4e1,,0
android-chrome-512.png,android-chrome-512.png,,,375,,,d4a795351c9b4c5dbeb59b8c4b0e158215db53d85cef007f4994fd2830f9b177,,0
apple-touch-icon.png,apple-touch-icon.png,180,180,37001,PNG,RGBA,bb704b2e72baa346cfb61257e16ffd536c5c430422a6d805369c0cf7eabf64cc,all-the-lonely-people.html | about.html | the-submissive-hoax.html | index.html | city-life.html | honesty-is-not-a-team-player.html | look-busy.html | work-with-us.html | editorial-policy.html | field-notes.html | heres-your-hat-whats-your-hurry.html | help-wanted-not-so-much.html,12
assets/images/brand/eastokyo-crow.jpg,eastokyo-crow.jpg,,,9201,,,e65cffccdfd7962a0476f9527476af2fb42ed4f69525a8ff0486c44f1fd7defc,,0
assets/media/backup-teacher-eikaiwa.png,backup-teacher-eikaiwa.png,1672,941,2697664,PNG,RGB,868de6a5ea5b5fcecdd03cc89af6faea6673444206cc4838b44d4b86664f6502,backup-teacher-eikaiwa.html,1
assets/media/easy-teacher-article.png,easy-teacher-article.png,1586,992,2227269,PNG,RGB,50fd36eac7f4b55d4f4c895d14402e4a916f1f4fe7153c2b05bab55205330aaa,about.html | index.html | city-life.html,3
assets/media/eikaiwa-school-operations.png,eikaiwa-school-operations.png,1672,941,2306320,PNG,RGB,461afd34aa4446cecdfbe63b79a5e627c6d63f7e5cdf2209a12047588c74a495,eikaiwa-school-operations.html,1
assets/media/emergency-classroom-coverage.png,emergency-classroom-coverage.png,1672,941,2813115,PNG,RGB,67761463a6f4476c16f9255d92525126e6c10e055b6eaa78929060ffbf9954a2,emergency-classroom-coverage.html,1
